time,waiting_time
0,23.785330539124654
1,13.30988253481794
2,17.929709244997866
3,17.29197771438899
4,12.74792112981116
5,17.073194856429282
6,18.415986801335904
7,26.800388954329478
8,23.944109663646884
9,21.632020065136633
10,22.061399019061763
11,21.81107290258006
12,15.093933375615173
13,24.48270140996327
14,19.01744493097087
15,15.784218982781441
16,20.37306467251243
17,18.82799416578322
18,21.67079158990269
19,12.573417832675469
20,11.630491339184141
21,18.33924353988718
22,20.284194649074813
23,19.300533952311813
24,15.05544258986338
25,22.620235298641468
26,24.94601216594207
27,17.749872187269883
28,17.322190595437043
29,10.628849520159502
30,15.922136652680656
31,16.84204686208426
32,32.78715638385963
33,23.368649730197802
34,20.379928749871905
35,17.84326922211644
36,20.690505421739047
37,13.503458414368403
38,20.25322067108726
39,15.97782508399132
40,17.824267010512024
41,16.943524792635458
42,20.329727266179646
43,16.73565806464974
44,20.027951158635247
45,12.98018304459097
46,15.999383172352971
47,16.630294737588255
48,10.76472112343753
49,21.154451153046644
50,11.110065336623265
51,10.030624973464423
52,15.758159849898913
53,23.35410983640365
54,26.68324921321762
55,19.697979600888406
56,17.194624795082177
57,13.83262888016165
58,23.878259566836697
59,19.40654302341506
60,27.970705510286955
61,24.803287776619477
62,12.306098677314452
63,21.123608912764812
64,19.626416036983315
65,19.12889188065391
66,20.3591379344669
67,22.088854964603463
68,28.964728290484185
69,14.233684221544618
70,18.8026727818054
71,15.397564477092216
72,24.547215174218817
73,13.566034134657187
74,20.2550361782846
75,21.064191612031582
76,20.541578454948134
77,16.420152479913995
78,20.462842219889133
79,22.750147231974715
80,20.438244766973284
81,18.23518794660356
82,16.220073538865076
83,26.553716627887567
84,13.30641348515932
85,21.36873504935775
86,9.296412941836321
87,24.635059999691347
88,17.11672772643495
89,23.77843125394134
90,20.912363176874226
91,16.75088588592954
92,25.281728607461446
93,18.696075971746875
94,24.269019338871466
95,31.198787509454043
96,16.409398155530976
97,23.80202269044882
98,19.740725422932123
99,18.528094367311038
